#Z	Name	density(g/cm^3)	I(eV)
1	G4_H	0.000083748	19.2
2	G4_He	0.000166322	41.8
3	G4_Li	0.534	40
4	G4_Be	1.848	63.7
5	G4_B	2.37	76
6	G4_C	2	81
7	G4_N	0.0011652	82
8	G4_O	0.00133151	95
9	G4_F	0.00158029	115
10	G4_Ne	0.000838505	137
11	G4_Na	0.971	149
12	G4_Mg	1.74	156
13	G4_Al	2.699	166
14	G4_Si	2.33	173
15	G4_P	2.2	173
16	G4_S	2	180
17	G4_Cl	0.00299473	174
18	G4_Ar	0.00166201	188
19	G4_K	0.862	190
20	G4_Ca	1.55	191
21	G4_Sc	2.989	216
22	G4_Ti	4.54	233
23	G4_V	6.11	245
24	G4_Cr	7.18	257
25	G4_Mn	7.44	272
26	G4_Fe	7.874	286
27	G4_Co	8.9	297
28	G4_Ni	8.902	311
29	G4_Cu	8.96	322
30	G4_Zn	7.133	330
31	G4_Ga	5.904	334
32	G4_Ge	5.323	350
33	G4_As	5.73	347
34	G4_Se	4.5	348
35	G4_Br	0.0070721	343
36	G4_Kr	0.00347832	352
37	G4_Rb	1.532	363
38	G4_Sr	2.54	366
39	G4_Y	4.469	379
40	G4_Zr	6.506	393
41	G4_Nb	8.57	417
42	G4_Mo	10.22	424
43	G4_Tc	11.5	428
44	G4_Ru	12.41	441
45	G4_Rh	12.41	449
46	G4_Pd	12.02	470
47	G4_Ag	10.5	470
48	G4_Cd	8.65	469
49	G4_In	7.31	488
50	G4_Sn	7.31	488
51	G4_Sb	6.691	487
52	G4_Te	6.24	485
53	G4_I	4.93	491
54	G4_Xe	0.00548536	482
55	G4_Cs	1.873	488
56	G4_Ba	3.5	491
57	G4_La	6.154	501
58	G4_Ce	6.657	523
59	G4_Pr	6.71	535
60	G4_Nd	6.9	546
61	G4_Pm	7.22	560
62	G4_Sm	7.46	574
63	G4_Eu	5.243	580
64	G4_Gd	7.9004	591
65	G4_Tb	8.229	614
66	G4_Dy	8.55	628
67	G4_Ho	8.795	650
68	G4_Er	9.066	658
69	G4_Tm	9.321	674
70	G4_Yb	6.73	684
71	G4_Lu	9.84	694
72	G4_Hf	13.31	705
73	G4_Ta	16.654	718
74	G4_W	19.3	727
75	G4_Re	21.02	736
76	G4_Os	22.57	746
77	G4_Ir	22.42	757
78	G4_Pt	21.45	790
79	G4_Au	19.32	790
80	G4_Hg	13.546	800
81	G4_Tl	11.72	810
82	G4_Pb	11.35	823
83	G4_Bi	9.747	823
84	G4_Po	9.32	830
85	G4_At	9.32	825
86	G4_Rn	0.00900662	794
87	G4_Fr	1	827
88	G4_Ra	5	826
89	G4_Ac	10.07	841
90	G4_Th	11.72	847
91	G4_Pa	15.37	878
92	G4_U	18.95	890
93	G4_Np	20.25	902
94	G4_Pu	19.84	921
95	G4_Am	13.67	934
96	G4_Cm	13.51	939
97	G4_Bk	14	952
98	G4_Cf	10	966
